,name,review_count,FSA,price_range,take_out,success,Visible_Minority_Population_Pct,South_Asian_Pct,Chinese_Pct,Black_Pct,Filipino_Pct,Latin American_Pct,Arab_Pct,South_East_Asian_Pct,West_Asian_Pct,Korean_Pct,Japanese_Pct,Not_Visible_Minority_Population_Pct,Population,Population_Average_Age,Age:0-19,Age:20-39,Age:40-59,Age:60plus,Median Income,Commute:Drive,Commute:Walk_Bus_Bike,NonImmigrants,Immigrants,House_Owner_Pct,House_Renter_Pct,Median_Monthly_Rent,Median_Monthly_Buy,Restaurant_Density,L4K,L6A,M1B,M1C,M1E,M1G,M1H,M1J,M1K,M1L,M1M,M1N,M1P,M1R,M1S,M1T,M1V,M1W,M1X,M2H,M2J,M2K,M2L,M2M,M2N,M2P,M2R,M3A,M3B,M3C,M3H,M3J,M3K,M3L,M3M,M3N,M4A,M4B,M4C,M4E,M4G,M4H,M4J,M4K,M4L,M4M,M4N,M4P,M4R,M4S,M4T,M4V,M4W,M4X,M4Y,M5A,M5B,M5C,M5E,M5G,M5H,M5J,M5M,M5N,M5P,M5R,M5S,M5T,M5V,M6A,M6B,M6C,M6E,M6G,M6H,M6J,M6K,M6L,M6M,M6N,M6P,M6R,M6S,M8V,M8W,M8X,M8Y,M8Z,M9A,M9B,M9C,M9L,M9M,M9N,M9P,M9R,M9V,M9W,Bakeries,Bars,Breakfast/Brunch,Chinese,Coffee/Tea,Desserts,Japanese,Korean,Mexican,Misc,Non-Visible Minority Foods,South East Asian,Specialty,Vegetarian/Vegan,West Asian,avg_hours_in_week
10,Galleria Supermarket,107,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.0
11,Granite Bistro,3,M3B,1,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.429
12,Big Smoke Burger,41,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.429
13,WonderPho,68,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0
14,Matsuda Japanese Cuisine,220,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.714
15,Freshii,15,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.857
16,Gonoe Sushi,108,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
17,Paisano,37,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.286
18,The Captain's Boil,70,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.0
19,Pizza Hut,9,M3B,1,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.286
20,Kiku Japanese Cuisine,97,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0
21,Bulldog Performance Nutrition,3,M3B,2,0,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.143
22,Dirty Grill,3,M3B,1,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.0
23,Artisano Bakery Cafe,32,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.857
24,Cucina 865,16,M3B,3,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.643
25,Five Guys,53,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.0
26,Dragon Pearl Buffet,305,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.5
27,Quiznos,5,M3B,1,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.143
28,Hamaru Sushi,43,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.143
29,Gilaneh Restaurant,78,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10.286
30,Kwan At York Mills,85,M3B,2,1,1,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.357
31,Fox and Fiddle Yorkmills,51,M3B,2,1,0,6495.0,1070.0,3310.0,185.0,325.0,90.0,225.0,45.0,460.0,445.0,100.0,6770.0,13324.0,44.7,2920.0,2450.0,4100.0,3845.0,80521.0,3675.0,1365.0,6670.0,6265.0,3955.0,1030.0,1496.0,1381.0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.286
